gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
google-breakpad v2024.02.16-2
google-chrome 143.0.7499.192-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.3-1
gpu-screen-recorder-git 5.11.5.r0.g6cbf660-1
granite7 7.7.0-1
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.1.1-1
gray-git 0.0.4-4
grep 3.12-2
grim 1.5.0-2
grimblast-git r153.41dbcac-1
groff 1.23.0-7
grub 2:2.14rc1.r54.g29f3131a-2
gs-pdf-compress 0.2.1-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.23-1
gsound 1.0.3-3
gspell 1.14.2-1
gssdp 1.6.4-1
gst-plugins-bad-libs 1.26.10-1
gst-plugins-base 1.26.10-1
gst-plugins-base-libs 1.26.10-1
gst-plugins-good 1.26.10-1
gstreamer 1.26.10-1
gtest 1.17.0-1
gtk-doc 1.35.1-1
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceviewmm 1:3.91.1-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.0-2
gvfs-mtp 1.58.0-2
gzip 1.14-2
harfbuzz 12.3.0-1
harfbuzz-icu 12.3.0-1
hdf5 2.0.0-3
hererocks 0.25.1-6
hidapi 0.15.0-1
highway 1.3.0-1
html-xml-utils 8.7-1
html2markdown 2.5.0-1
html2markdown-debug 2.5.0-1
hunspell 1.7.2-2
hwdata 0.402-1
hwloc 2.12.2-1
hyphen 2.8.8-6
hyprcursor 0.1.13-3
hyprevents-git 24.d4397df-1
hyprgraphics 0.5.0-1
hypridle 0.1.7-6
hyprland 0.52.2-3
hyprland-guiutils 0.2.1-2
hyprland-qt-support 0.1.0-10
hyprlang 0.6.8-1
hyprlock 0.9.2-8
hyprpaper 0.8.1-1
hyprpicker 0.4.5-8
hyprpolkitagent 0.1.3-4
hyprprop-git 27.80de2f8-1
hyprshot 1.3.0-4
